RCDT Code,District Name,Local Affiliation
1001001026,Payson CUSD 1,IEA-NEA
1001002026,Liberty CUSD 2,IEA-NEA
1001003026,Central CUSD 3,IEA-NEA
1001004026,CUSD 4,IFT-AFT
1001172022,Quincy SD 172,IFT-AFT
1005001026,Brown County CUSD 1,IEA-NEA
1009015026,Beardstown CUSD 15,IEA-NEA
1009064026,Virginia CUSD 64,IEA-NEA
1009262026,A-C Central CUSD 262,IEA-NEA
1069001026,Franklin CUSD 1,IFT-AFT
1069006026,Waverly CUSD 6,IEA-NEA
1069011026,Meredosia-Chambersburg CUSD 11,IEA-NEA
1069027026,Triopia CUSD 27,IFT-AFT
1069117022,Jacksonville SD 117,IEA-NEA
1069801060,Four Rivers Spec Educ Dist,IFT-AFT
1075003026,Pleasant Hill CUSD 3,IFT-AFT
1075004026,Griggsville-Perry CUSD 4,IFT-AFT
1075010026,Pikeland CUSD 10,IEA-NEA
1075012026,Western CUSD 12,IEA-NEA
1086001026,Winchester CUSD 1,IFT-AFT
1086002026,Scott-Morgan CUSD 2,IEA-NEA
3003001026,Mulberry Grove CUSD 1,IEA-NEA
3003002026,Bond County CUSD 2,IEA-NEA
3011001026,Morrisonville CUSD 1,IEA-NEA
3011003026,Taylorville CUSD 3,IEA-NEA
3011004026,Edinburg CUSD 4,IEA-NEA
3011008026,Pana CUSD 8,IEA-NEA
3011014024,South Fork SD 14,IEA-NEA
3011801060,Mid-State Spec Educ Jnt Agr,NULL
3011802060,NPT Special Education Coop,NULL
3025010026,Altamont CUSD 10,IEA-NEA
3025020026,Beecher City CUSD 20,IEA-NEA
3025030026,Dieterich CUSD 30,IEA-NEA
3025040026,Effingham CUSD 40,IEA-NEA
3025050026,Teutopolis CUSD 50,IEA-NEA
3026201026,Brownstown CUSD 201,IEA-NEA
3026202026,St Elmo CUSD 202,IEA-NEA
3026203026,Vandalia CUSD 203,IEA-NEA
3026204026,Ramsey CUSD 204,IEA-NEA
3068002026,Panhandle CUSD 2,IEA-NEA
3068003026,Hillsboro CUSD 3,IFT-AFT
3068012026,Litchfield CUSD 12,IEA-NEA
3068022026,Nokomis CUSD 22,IEA-NEA
4004100026,Belvidere CUSD 100,IEA-NEA
4004200026,North Boone CUSD 200,IEA-NEA
4101122022,Harlem UD 122,IFT-AFT
4101131004,Kinnikinnick CCSD 131,IEA-NEA
4101134004,Shirland CCSD 134,IEA-NEA
4101140004,Rockton SD 140,IEA-NEA
4101140061,Winnebago County Spec Educ Coop,IEA-NEA
4101205025,Rockford SD 205,IEA-NEA
4101207016,Hononegah CHD 207,IEA-NEA
4101320026,County of Winnebago SD 320,IEA-NEA
4101321026,Pecatonica CUSD 321,IEA-NEA
4101322026,Durand CUSD 322,Other: Durand Education Association
4101323026,Winnebago CUSD 323,IEA-NEA
5016015004,Palatine CCSD 15,IEA-NEA
5016021004,Wheeling CCSD 21,IEA-NEA
5016023002,Prospect Heights SD 23,IEA-NEA
5016025002,Arlington Heights SD 25,IEA-NEA
5016026002,River Trails SD 26,IEA-NEA
5016027002,Northbrook ESD 27,IEA-NEA
5016028002,Northbrook SD 28,IFT-AFT
5016029002,Sunset Ridge SD 29,IEA-NEA
5016030002,Northbrook/Glenview SD 30,IEA-NEA
5016031002,West Northfield SD 31,IFT-AFT
5016034004,Glenview CCSD 34,IEA-NEA
5016035002,Glencoe SD 35,IEA-NEA
5016036002,Winnetka SD 36,IEA-NEA
5016037002,Avoca SD 37,IEA-NEA
5016038002,Kenilworth SD 38,IEA-NEA
5016039002,Wilmette SD 39,IEA-NEA
5016054004,Schaumburg CCSD 54,IEA-NEA
5016057002,Mount Prospect SD 57,IEA-NEA
5016059004,Comm Cons SD 59,IEA-NEA
5016062004,CCSD 62,IEA-NEA
5016063002,East Maine SD 63,IEA-NEA
5016064004,Park Ridge CCSD 64,IEA-NEA
5016065004,Evanston CCSD 65,IEA-NEA
5016067002,Golf ESD 67,IFT-AFT
5016068002,Skokie SD 68,IEA-NEA
5016069002,Skokie SD 69,IEA-NEA
5016070002,Morton Grove SD 70,IFT-AFT
5016071002,Niles ESD 71,IFT-AFT
5016072002,Fairview SD 72,IFT-AFT
5016073002,East Prairie SD 73,IFT-AFT
5016073502,Skokie SD 73-5,IEA-NEA
5016074002,Lincolnwood SD 74,IFT-AFT
5016202017,Evanston Twp HSD 202,IEA-NEA
5016203017,New Trier Twp HSD 203,IEA-NEA
5016207017,Maine Township HSD 207,IEA-NEA
5016211017,Township HSD 211,IFT-AFT
5016214017,Township HSD 214,IFT-AFT Local 1211
5016219017,Niles Twp HSD 219,IFT-AFT
5016225017,Glenbrook HSD 225,IEA-NEA
5016805060,NW Suburban Spec Educ Org,IEA-NEA
5016807060,Niles Twp District for Spec Educ,IFT-AFT
6016078002,Rosemont ESD 78,Other: Rosemont Professional Association
6016079002,Pennoyer SD 79,IEA-NEA
6016080002,Norridge SD 80,IEA-NEA
6016081002,Schiller Park SD 81,IEA-NEA
6016083002,Mannheim SD 83,IFT-AFT
6016083061,Leyden Area Spec Educ Coop,NULL
6016084002,Franklin Park SD 84,IFT-AFT
6016084502,Rhodes SD 84-5,IEA-NEA
6016085502,River Grove SD 85-5,IEA-NEA
6016086002,Union Ridge SD 86,IEA-NEA
6016088002,Bellwood SD 88,IEA-NEA
6016089002,Maywood-Melrose Park-Broadview 89,IEA-NEA
6016090002,River Forest SD 90,IEA-NEA
6016091002,Forest Park SD 91,IEA-NEA
6016092002,Lindop SD 92,IEA-NEA
6016092502,Westchester SD 92-5,IEA-NEA
6016093002,Hillside SD 93,IEA-NEA
6016094002,Komarek SD 94,IEA-NEA
6016095002,Brookfield Lagrange Park SD 95,IEA-NEA
6016096002,Riverside SD 96,IFT-AFT
6016098002,Berwyn North SD 98,IEA-NEA
6016099002,Cicero SD 99,IFT-AFT
6016100002,Berwyn South SD 100,IEA-NEA
6016101002,Western Springs SD 101,IEA-NEA
6016102002,La Grange SD 102,IEA-NEA
6016103002,Lyons SD 103,IFT-AFT
6016105002,La Grange SD 105 South,IEA-NEA
6016106002,LaGrange Highlands SD 106,IFT-AFT
6016107002,Pleasantdale SD 107,IEA-NEA
6016200013,Oak Park - River Forest SD 200,IEA-NEA
6016201017,J S Morton HSD 201,IFT-AFT
6016204017,Lyons Twp HSD 204,IEA-NEA
6016204061,Lagrange Area Dept Spec Ed-Ladse,IEA-NEA
6016208017,Riverside-Brookfield Twp SD 208,IEA-NEA
6016212016,Leyden CHSD 212,IFT-AFT
6016234016,Ridgewood CHSD 234,IFT-AFT
6016401026,Elmwood Park CUSD 401,IEA-NEA
6016803060,Proviso Area Exceptional Child,IFT-AFT
7016104002,Summit SD 104,IFT-AFT
7016109002,Indian Springs SD 109,IFT-AFT
7016110002,Central Stickney SD 110,IFT-AFT
7016111002,Burbank SD 111,IFT-AFT
07016113a02,Lemont-Bromberek CSD 113A,IFT-AFT
7016117002,North Palos SD 117,IEA-NEA
7016118004,Palos CCSD 118,IEA-NEA
7016122002,Ridgeland SD 122,IFT-AFT
7016123002,Oak Lawn-Hometown SD 123,IFT-AFT
7016124002,Evergreen Park ESD 124,IFT-AFT
7016125002,Atwood Heights SD 125,IEA-NEA
7016126002,Alsip-Hazlgrn-Oaklwn SD 126,IFT-AFT
7016127002,Worth SD 127,IEA-NEA
7016127502,Chicago Ridge SD 127-5,IEA-NEA
7016127561,Eisenhower Cooperative,IEA-NEA
7016128002,Palos Heights SD 128,IEA-NEA
7016130002,Cook County SD 130,IEA-NEA
7016132002,Calumet Public SD 132,IEA-NEA
7016133002,Gen George Patton SD 133,IFT-AFT
7016135002,Orland SD 135,IFT-AFT
7016140002,Kirby SD 140,IEA-NEA
7016142002,Forest Ridge SD 142,IEA-NEA
7016142061,Southwest Cook Coop Spec Ed,IFT-AFT
7016143002,Midlothian SD 143,IEA-NEA
7016143502,Posen-Robbins ESD 143-5,IFT-AFT
7016144002,Prairie-Hills ESD 144,IEA-NEA
7016145002,Arbor Park SD 145,IEA-NEA
7016146004,CCSD 146,IFT-AFT
7016147002,W Harvey-Dixmoor PSD 147,IFT-AFT
7016148002,Dolton SD 148,IEA-NEA
7016149002,Dolton SD 149,IEA-NEA
7016150002,South Holland SD 150,IEA-NEA
7016151002,South Holland SD 151,IEA-NEA
7016152002,Harvey SD 152,IEA-NEA
7016152502,Hazel Crest SD 152-5,IFT-AFT
7016153002,Homewood SD 153,IEA-NEA
7016154002,Thornton SD 154,IEA-NEA
7016154502,Burnham SD 154-5,IEA-NEA
7016155002,Calumet City SD 155,IFT-AFT
7016156002,Lincoln ESD 156,IFT-AFT
7016157002,Hoover-Schrum Memorial SD 157,IFT-AFT
7016158002,Lansing SD 158,IEA-NEA
7016159002,ESD 159,IEA-NEA
7016161002,Flossmoor SD 161,Other: Flossmoor Education Association
7016162002,Matteson ESD 162,IEA-NEA
7016163002,Park Forest SD 163,IFT-AFT
7016167002,Brookwood SD 167,IEA-NEA
7016168004,CCSD 168,IEA-NEA
7016170002,Chicago Heights SD 170,IFT-AFT
7016171002,Sunnybrook SD 171,IEA-NEA
7016171061,Exc Children Have Opportunities,IEA-NEA
7016172002,Sandridge SD 172,IEA-NEA
7016194002,Steger SD 194,IEA-NEA
7016205017,Thornton Twp HSD 205,IEA-NEA
7016206017,Bloom Twp HSD 206,IEA-NEA
7016210017,Lemont Twp HSD 210,IEA-NEA
7016215017,Thornton Fractional Twp HSD 215,IFT-AFT
7016217016,Argo CHSD 217,IFT-AFT
7016218016,CHSD 218,IEA-NEA
7016220017,Reavis Twp HSD 220,IFT-AFT
7016227017,Rich Twp HSD 227,IEA-NEA
7016228016,Bremen CHSD 228,IEA-NEA
7016229016,Oak Lawn CHSD 229,IFT-AFT
7016230013,Cons HSD 230,IEA-NEA
7016231016,Evergreen Park CHSD 231,IEA-NEA
7016233016,Homewood Flossmoor CHSD 233,IEA-NEA
7016802060,Speed SEJA #802,IEA-NEA
7016806060,A E R O  Spec Educ Coop,IEA-NEA
7016901025,Southland College Prep Chtr HS,NULL
8008308026,Eastland CUSD 308,IEA-NEA
8008314026,West Carroll CUSD 314,IEA-NEA
8008399026,Chadwick-Milledgeville CUSD 399,NULL
8043119022,East Dubuque USD 119,IEA-NEA
8043120022,Galena USD 120,IFT-AFT
8043205026,Warren CUSD 205,IEA-NEA
8043206026,Stockton CUSD 206,IEA-NEA
8043210026,River Ridge CUSD 210,IEA-NEA
8043210061,Northwest Sp Ed Cooperative,NULL
8043211026,Scales Mound CUSD 211,IEA-NEA
8043790040,Jo Daviess Carroll CTE Academy,Independent
8089145022,Freeport SD 145,IEA-NEA
8089200026,Pearl City CUSD 200,NULL
8089201026,Dakota CUSD 201,IEA-NEA
8089202026,Lena Winslow CUSD 202,IEA-NEA
8089203026,Orangeville CUSD 203,IEA-NEA
8089723045,Career & Tech Educ Consortium,NULL
9010001026,Fisher CUSD 1,IEA-NEA
9010003026,Mahomet-Seymour CUSD 3,IEA-NEA
9010004026,Champaign CUSD 4,IFT-AFT
9010007026,Tolono CUSD 7,IEA-NEA
9010008026,Heritage CUSD 8,IEA-NEA
9010116022,Urbana SD 116,IEA-NEA
9010130004,Thomasboro CCSD 130,IEA-NEA
9010137002,Rantoul City SD 137,IEA-NEA
9010142004,Ludlow CCSD 142,IEA-NEA
9010169004,St Joseph CCSD 169,IEA-NEA
9010188004,Gifford CCSD 188,IEA-NEA
9010193017,Rantoul Township HSD 193,IEA-NEA
9010197004,Prairieview-Ogden CCSD 197,IEA-NEA
9010305016,St Joseph Ogden CHSD 305,IEA-NEA
9010801060,Rural Champaign Co Spec Ed Coop,IEA-NEA
9027005026,Gibson City-Melvin-Sibley CUSD 5,IEA-NEA
9027010026,Paxton-Buckley-Loda CUD 10,IEA-NEA
11012002C26,Marshall CUSD 2C,IEA-NEA
11012003C26,Martinsville CUSD 3C,IEA-NEA
11012004C26,Casey-Westfield CUSD 4C,IEA-NEA
11015001026,Charleston CUSD 1,IEA-NEA
11015002026,Mattoon CUSD 2,IEA-NEA
